"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","Severity","CVSSv2","Build Coordinates","CPE Confidence","Evidence Count"
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",log4j-core-2.0.1.jar,C:\Users\zheng\.m2\repository\org\apache\logging\log4j\log4j-core\2.0.1\log4j-core-2.0.1.jar,The Log4j Implementation,http://www.apache.org/licenses/LICENSE-2.0.txt,fbfa5f33ab4b29a6fdd52473ee7b834d,895130076efaf6dcafb741ed7e97f2d346903708,org.apache.logging.log4j:log4j-core:2.0.1,cpe:/a:apache:log4j:2.0.1,CVE-2017-5645,,"In Apache Log4j 2.x before 2.8.2, when using the TCP socket server or UDP socket server to receive serialized log events from another application, a specially crafted binary payload can be sent that, when deserialized, can execute arbitrary code.",NVD,"High",7.5,org.apache.logging.log4j:log4j-core:2.0.1,HIGHEST,30
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2010-3718,,"Apache Tomcat 7.0.0 through 7.0.3, 6.0.x, and 5.5.x, when running within a SecurityManager, does not make the ServletContext attribute read-only, which allows local web applications to read or write files outside of the intended working directory, as demonstrated using a directory traversal attack.",NVD,"Low",1.2,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2010-4172,,"Multiple cross-site scripting (XSS) vulnerabilities in the Manager application in Apache Tomcat 6.0.12 through 6.0.29 and 7.0.0 through 7.0.4 allow remote attackers to inject arbitrary web script or HTML via the (1) orderBy or (2) sort parameter to sessionsList.jsp, or unspecified input to (3) sessionDetail.jsp or (4) java/org/apache/catalina/manager/JspHelper.java, related to use of untrusted web applications.",NVD,"Medium",4.3,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-0013,,"Multiple cross-site scripting (XSS) vulnerabilities in the HTML Manager Interface in Apache Tomcat 5.5 before 5.5.32, 6.0 before 6.0.30, and 7.0 before 7.0.6 allow remote attackers to inject arbitrary web script or HTML, as demonstrated via the display-name tag.",NVD,"Medium",4.3,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-0534,,"Apache Tomcat 7.0.0 through 7.0.6 and 6.0.0 through 6.0.30 does not enforce the maxHttpHeaderSize limit for requests involving the NIO HTTP connector, which allows remote attackers to cause a denial of service (OutOfMemoryError) via a crafted request.",NVD,"Medium",5.0,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-1088,,"Apache Tomcat 7.x before 7.0.10 does not follow ServletSecurity annotations, which allows remote attackers to bypass intended access restrictions via HTTP requests to a web application.",NVD,"Medium",5.8,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-1184,,"The HTTP Digest Access Authentication implementation in Apache Tomcat 5.5.x before 5.5.34, 6.x before 6.0.33, and 7.x before 7.0.12 does not have the expected countermeasures against replay attacks, which makes it easier for remote attackers to bypass intended access restrictions by sniffing the network for valid requests, related to lack of checking of nonce (aka server nonce) and nc (aka nonce-count or client nonce count) values.",NVD,"Medium",5.0,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-1419,,"Apache Tomcat 7.x before 7.0.11, when web.xml has no security constraints, does not follow ServletSecurity annotations, which allows remote attackers to bypass intended access restrictions via HTTP requests to a web application.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2011-1088.",NVD,"Medium",5.8,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-1475,,"The HTTP BIO connector in Apache Tomcat 7.0.x before 7.0.12 does not properly handle HTTP pipelining, which allows remote attackers to read responses intended for other clients in opportunistic circumstances by examining the application data in HTTP packets, related to ""a mix-up of responses for requests from different users.""",NVD,"Medium",5.0,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-2204,,"Apache Tomcat 5.5.x before 5.5.34, 6.x before 6.0.33, and 7.x before 7.0.17, when the MemoryUserDatabase is used, creates log entries containing passwords upon encountering errors in JMX user creation, which allows local users to obtain sensitive information by reading a log file.",NVD,"Low",1.9,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-2481,,"Apache Tomcat 7.0.x before 7.0.17 permits web applications to replace an XML parser used for other web applications, which allows local users to read or modify the (1) web.xml, (2) context.xml, or (3) tld files of arbitrary web applications via a crafted application that is loaded earlier than the target application.  NOTE: this vulnerability exists because of a CVE-2009-0783 regression.",NVD,"Medium",4.6,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-2526,,"Apache Tomcat 5.5.x before 5.5.34, 6.x before 6.0.33, and 7.x before 7.0.19, when sendfile is enabled for the HTTP APR or HTTP NIO connector, does not validate certain request attributes, which allows local users to bypass intended file access restrictions or cause a denial of service (infinite loop or JVM crash) by leveraging an untrusted web application.",NVD,"Medium",4.4,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-2729,,"native/unix/native/jsvc-unix.c in jsvc in the Daemon component 1.0.3 through 1.0.6 in Apache Commons, as used in Apache Tomcat 5.5.32 through 5.5.33, 6.0.30 through 6.0.32, and 7.0.x before 7.0.20 on Linux, does not drop capabilities, which allows remote attackers to bypass read permissions for files via a request to an application.",NVD,"Medium",5.0,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-3190,,"Certain AJP protocol connector implementations in Apache Tomcat 7.0.0 through 7.0.20, 6.0.0 through 6.0.33, 5.5.0 through 5.5.33, and possibly other versions allow remote attackers to spoof AJP requests, bypass authentication, and obtain sensitive information by causing the connector to interpret a request body as a new request.",NVD,"High",7.5,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-3375,,"Apache Tomcat 6.0.30 through 6.0.33 and 7.x before 7.0.22 does not properly perform certain caching and recycling operations involving request objects, which allows remote attackers to obtain unintended read access to IP address and HTTP header information in opportunistic circumstances by reading TCP data.",NVD,"Medium",5.0,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-3376,,"org/apache/catalina/core/DefaultInstanceManager.java in Apache Tomcat 7.x before 7.0.22 does not properly restrict ContainerServlets in the Manager application, which allows local users to gain privileges by using an untrusted web application to access the Manager application's functionality.",NVD,"Medium",4.4,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
fooworld Maven Webapp,"十一月 1, 2018 at 16:23:29 +08:00",tomcat-api-7.0.2.jar,C:\Users\zheng\.m2\repository\org\apache\tomcat\tomcat-api\7.0.2\tomcat-api-7.0.2.jar,Definition of interfaces shared by Catalina and Jasper,,7f14424f7b21ad0d8c43fdb0a2e349b8,fca5c24f3cc184dfd55a0855ecb54c8a988b00e5,org.apache.tomcat:tomcat-api:7.0.2,"cpe:/a:apache_software_foundation:tomcat:7.0.2, cpe:/a:apache_tomcat:apache_tomcat:7.0.2, cpe:/a:apache:tomcat:7.0.2",CVE-2011-4858,,"Apache Tomcat before 5.5.35, 6.x before 6.0.35, and 7.x before 7.0.23 computes hash values for form parameters without restricting the ability to trigger hash collisions predictably, which allows remote attackers to cause a denial of service (CPU consumption) by sending many crafted parameters.",NVD,"Medium",5.0,org.apache.tomcat:tomcat-api:7.0.2,"LOW, LOW, HIGHEST",16
